reuse_time,counts
1,265241
2,120974
3,71108
4,52879
5,42625
6,35977
7,30392
8,25934
9,22371
10,19329
11,17674
12,15779
13,14092
14,13010
15,11800
16,10845
17,10104
18,9399
19,8782
20,8037
21,7601
22,7041
23,6665
24,6208
25,5855
26,5443
27,5103
28,4848
29,4630
30,4383
31,4150
32,3937
33,3683
34,3494
35,3335
36,3133
37,3150
38,2893
39,2812
40,2717
41,2536
42,2447
43,2320
44,2345
45,2152
46,2068
47,2010
48,1996
49,1922
50,1831
51,1734
52,1667
53,1659
54,1554
55,1474
56,1437
57,1452
58,1377
59,1350
60,1241
61,1242
62,1262
63,1172
64,1112
65,1082
66,1041
67,1024
68,1037
69,1002
70,937
71,959
72,938
73,906
74,968
75,911
76,809
77,852
78,791
79,866
80,812
81,784
82,745
83,773
84,724
85,719
86,703
87,700
88,670
89,565
90,619
91,599
92,570
93,618
94,584
95,511
96,555
97,526
98,496
99,481
100,485
101,469
102,492
103,453
104,472
105,458
106,454
107,422
108,445
109,393
110,381
111,399
112,423
113,370
114,358
115,366
116,333
117,336
118,288
119,273
120,312
121,293
122,285
123,279
124,259
125,265
126,278
127,274
128,271
129,255
130,245
131,246
132,232
133,226
134,227
135,209
136,226
137,234
138,218
139,229
140,208
141,207
142,200
143,197
144,171
145,174
146,176
147,172
148,148
149,173
150,167
151,177
152,144
153,137
154,135
155,164
156,151
157,144
158,130
159,154
160,154
161,135
162,156
163,125
164,147
165,154
166,139
167,123
168,139
169,139
170,121
171,120
172,127
173,121
174,113
175,115
176,109
177,149
178,111
179,106
180,128
181,115
182,116
183,116
184,106
185,124
186,119
187,110
188,102
189,136
190,112
191,123
192,122
193,112
194,105
195,110
196,96
197,112
198,84
199,103
200,105
201,103
202,99
203,94
204,93
205,119
206,80
207,101
208,114
209,97
210,94
211,101
212,101
213,87
214,78
215,93
216,85
217,98
218,75
219,75
220,83
221,93
222,77
223,83
224,93
225,93
226,77
227,78
228,77
229,81
230,75
231,74
232,68
233,68
234,75
235,70
